htgrk,htypek,gtypek,grunntype
M,M-2,M2-E-13,M2-E-13  dyp ­berg­veg­g I øv­re ­sub­li­to­ral ­med ­li­te ­strøm
M,M-2,M2-E-14,M2-E-14  noe ­strøm­på­vir­ket ­dyp ­berg­veg­g i øv­re ­sub­li­to­ral
M,M-2,M2-E-15,M2-E-15  li­te ­strøm­på­vir­ket ­berg­veg­g i ­at­lan­tisk ­vann
M,M-2,M2-E-16,M2-E-16  noe ­strøm­på­vir­ket ­berg­veg­g i ­at­lan­tisk ­vann
M,M-2,M2-E-17,M2-E-17  li­te ­strøm­på­vir­ket ­berg­veg­g i in­ter­me­diær­t ­vann
M,M-2,M2-E-18,M2-E-18  noe ­strøm­på­vir­ket ­berg­veg­g i in­ter­me­diær­t ­vann
M,M-2,M2-E-19,M2-E-19  bat­hya­l ­berg­vegg
M,M-2,M2-E-2,M2-E-2  fast­bunn i ­at­lan­tisk ­vann ­med ­li­te ­strøm
M,M-2,M2-E-20,M2-E-20  abys­sal ­berg­vegg
M,M-2,M2-E-3,M2-E-3  fast­bunn I in­ter­me­diær­t ­vann ­med ­li­te ­strøm
M,M-2,M2-E-4,M2-E-4  fast­bunn i ­bat­hya­l ­med ­li­te ­strøm
M,M-2,M2-E-5,M2-E-5  fast­bunn i a­bys­sal ­med ­li­te ­strøm
M,M-2,M2-E-6,M2-E-6  dy­pe­re ­fast­bunn i øv­re ­sub­li­to­ral ­med ­strøm­på­virk­ning
M,M-2,M2-E-7,M2-E-7  strøm­på­vir­ket ­fast­bunn i ­at­lan­tisk ­vann
M,M-2,M2-E-8,M2-E-8  strøm­på­vir­ket ­fast­bunn i in­ter­me­diær­t ­vann
M,M-2,M2-E-9,M2-E-9  strøm­på­vir­ket ­fast­bunn i ­bat­hyal
M,M-3,M3-E-1,M3-E-1  grisetang­bunn
M,M-3,M3-E-10,M3-E-10  bunn ­do­mi­ner­t av ­fi­la­men­tø­se al­ger
M,M-3,M3-E-11,M3-E-11  tem­me­lig ­brakk ­be­skyt­tet ­berg­knaus i hydro­li­to­ral
M,M-3,M3-E-12,M3-E-12  tem­me­lig ­brakk ­be­skyt­tet ­berg­knaus i ­ge­oli­to­ral
M,M-3,M3-E-13,M3-E-13  svær­t ­brakk ­fjære­so­ne-­berg­knaus
M,M-3,M3-E-14,M3-E-14  be­skyt­tet ­ned­re ­fjære­so­ne-­berg­vegg
M,M-3,M3-E-15,M3-E-15  be­skyt­tet øv­re ­fjære­so­ne-­berg­vegg
M,M-3,M3-E-16,M3-E-16  litt ­be­skyt­tet ­fjære­so­ne-­berg­vegg
M,M-3,M3-E-17,M3-E-17  eks­po­ner­t ­fjære­so­ne-­berg­vegg
M,M-3,M3-E-18,M3-E-18  brakk ­fjære­so­ne-­berg­vegg
M,M-3,M3-E-19,M3-E-19  is­skur­t ­fjære­so­ne-­fast­bunn
M,M-3,M3-E-2,M3-E-2  grønn­al­ge-­spi­ral­tang­bunn
M,M-3,M3-E-3,M3-E-3  grønn­al­ge-rur­bunn
M,M-3,M3-E-4,M3-E-4  blære­tang­bunn
M,M-3,M3-E-5,M3-E-5  spi­ral­tang­bunn
M,M-3,M3-E-6,M3-E-6  saue­tang-blå­skjell­bunn
M,M-3,M3-E-7,M3-E-7  rem­tang­bunn
M,M-3,M3-E-8,M3-E-8  strandsnegl-blå­skjell­bunn
M,M-3,M3-E-9,M3-E-9  strandsnegl-blå­skjel­l-rur­bunn
M,M-4,M4-E-1,M4-E-1  grunn sand­bunn
M,M-4,M4-E-10,M4-E-10  grunn skjell­sand­bunn
M,M-4,M4-E-11,M4-E-11  grunn rugl­bunn
M,M-4,M4-E-12,M4-E-12  sand­bunn i rø­dalge­bel­tet
M,M-4,M4-E-13,M4-E-13  løs ­mud­der­bunn i rø­dalge­bel­tet
M,M-4,M4-E-14,M4-E-14  grus- og stein­bunn I rø­dalge­bel­tet
M,M-4,M4-E-15,M4-E-15  fin­ma­te­ria­le­rik ­se­di­ment­bunn i rø­dalge­bel­tet
M,M-4,M4-E-16,M4-E-16   finse­di­ment­bunn I rø­dalge­bel­tet
M,M-4,M4-E-17,M4-E-17  fast­leire­bunn i rø­dalge­bel­tet
M,M-4,M4-E-18,M4-E-18  alge­gytje­bunn i rø­dalge­bel­tet
M,M-4,M4-E-19,M4-E-19  skjell­sand­bunn i rø­dalge­bel­tet
M,M-4,M4-E-2,M4-E-2  grunn ­løs ­mud­der­bunn
M,M-4,M4-E-20,M4-E-20  rugl­bunn i rø­dalge­bel­tet
M,M-4,M4-E-21,M4-E-21  brakk sand­bunn
M,M-4,M4-E-22,M4-E-22  brakk ­løs ­mud­der­bunn
M,M-4,M4-E-23,M4-E-23  brakk  ­fin ­til ­mid­del­s ­grus­bunn
M,M-4,M4-E-24,M4-E-24  brakk ­grov ­sil­t- ­til ­fast ­leir­bunn
M,M-4,M4-E-25,M4-E-25  brakk ­fin ­grus- ­til stein­bunn
M,M-4,M4-E-26,M4-E-26  brakk ­grus- og stein­bunn ­med ­fin­ma­te­ria­le
M,M-4,M4-E-27,M4-E-27  brakk alge­gytje­bunn
M,M-4,M4-E-28,M4-E-28  brakk ­løs kalk­mud­der­bunn
M,M-4,M4-E-29,M4-E-29  hydro­li­to­ral sand­bunn
M,M-4,M4-E-3,M4-E-3  grunn ­fin ­til ­mid­del­s ­grus­bunn
M,M-4,M4-E-30,M4-E-30  hydro­li­to­ral ­løs ­mud­der­bunn
M,M-4,M4-E-31,M4-E-31  hydro­li­to­ral ­fin ­til ­mid­del­s ­grus­bunn
M,M-4,M4-E-32,M4-E-32  hydro­li­to­ral ­silt­bunn
M,M-4,M4-E-33,M4-E-33  hydro­li­to­ral ­fin ­til ­mid­del­s ­grus­bunn
M,M-4,M4-E-34,M4-E-34  hydro­li­to­ral ­grov ­grus- ­til stein­bunn
M,M-4,M4-E-35,M4-E-35  hydro­li­to­ral ­leir­bunn
M,M-4,M4-E-36,M4-E-36  hydro­li­to­ral alge­gytje­bunn
M,M-4,M4-E-37,M4-E-37  hydro­li­to­ral skjell­sand­bunn
M,M-4,M4-E-38,M4-E-38  brakk hydro­li­to­ral sand­bunn
M,M-4,M4-E-39,M4-E-39  brakk hydro­li­to­ral ­løs ­mud­der­bunn
M,M-4,M4-E-4,M4-E-4  grunn ­gro­ve­re blan­det sand­bunn
M,M-4,M4-E-40,M4-E-40  brakk hydro­li­to­ral ­fin ­til ­mid­del­s ­grus­bunn
M,M-4,M4-E-41,M4-E-41  brakk hydro­li­to­ral ­silt­bunn
M,M-4,M4-E-42,M4-E-42  brakk hydro­li­to­ral ­leir­bunn
M,M-4,M4-E-43,M4-E-43  brakk hydro­li­to­ral alge­gytje­bunn
M,M-4,M4-E-44,M4-E-44  se­di­ment­bunn pre­get av stor ­masse­trans­port
M,M-4,M4-E-5,M4-E-5  grunn finse­di­ment­bunn
M,M-4,M4-E-6,M4-E-6  grunn ­grus-og stein­bunn
M,M-4,M4-E-7,M4-E-7  grunn ­grus- og stein­bunn ­med ­fin­ma­te­ria­le
M,M-4,M4-E-8,M4-E-8  grunn ­fast­leire­bunn
M,M-4,M4-E-9,M4-E-9  grunn alge­gytje­bunn
M,M-5,M5-E-1,M5-E-1  sand­bunn i øv­re ­sub­li­to­ral
M,M-5,M5-E-10,M5-E-10  ko­rall­grus­bunn i øv­re ­sub­li­to­ral
M,M-5,M5-E-11,M5-E-11  sand­bunn i ­at­lan­tisk ­vann
M,M-5,M5-E-12,M5-E-12  løs ­mud­der­bunn i ­at­lan­tisk ­vann
M,M-5,M5-E-13,M5-E-13  fin ­grus- ­til stein­bunn i ­at­lan­tisk ­vann
M,M-5,M5-E-14,M5-E-14  fin­ma­te­ria­le­rik ­se­di­ment­bunn i ­at­lan­tisk ­vann
M,M-5,M5-E-15,M5-E-15  finse­di­ment­bunn i ­at­lan­tisk ­vann
M,M-5,M5-E-16,M5-E-16  fast­leire­bunn i ­at­lan­tisk ­vann
M,M-5,M5-E-17,M5-E-17  alge­gytje­bunn i ­at­lan­tisk ­vann
M,M-5,M5-E-18,M5-E-18  svamp­spikel­bunn i ­at­lan­tisk ­vann
M,M-5,M5-E-19,M5-E-19  ko­rall­grus­bunn i ­at­lan­tisk ­vann
M,M-5,M5-E-2,M5-E-2  løs ­mud­der­bunn i øv­re ­sub­li­to­ral
M,M-5,M5-E-20,M5-E-20  sand­bunn i in­ter­me­diær­t ­vann
M,M-5,M5-E-21,M5-E-21  løs ­mud­der­bunn I in­ter­me­diær­t ­vann
M,M-5,M5-E-22,M5-E-22  fin ­grus- ­til stein­bunn i in­ter­me­diær­t ­vann
M,M-5,M5-E-23,M5-E-23  fin­ma­te­ria­le­rik ­se­di­ment­bunn i in­ter­me­diær­t ­vann
M,M-5,M5-E-24,M5-E-24  finse­di­ment­bunn I in­ter­me­diær­t ­vann
M,M-5,M5-E-25,M5-E-25  fast ­leir­bunn i in­ter­me­diær­t ­vann
M,M-5,M5-E-26,M5-E-26  svamp­spikel­bunn i in­ter­me­diær­t ­vann
M,M-5,M5-E-27,M5-E-27  bat­hya­l sand­bunn
M,M-5,M5-E-28,M5-E-28  bat­hya­l ­løs ­mud­der­bunn
M,M-5,M5-E-29,M5-E-29  bat­hya­l ­fin ­grus-­til stein­bunn
M,M-5,M5-E-3,M5-E-3  fin ­grus- ­til stein­bunn i øv­re ­sub­li­to­ral
M,M-5,M5-E-30,M5-E-30  bat­hya­l finse­di­ment­bunn
M,M-5,M5-E-31,M5-E-31  bat­hya­l ­fast ­leir­bunn
M,M-5,M5-E-32,M5-E-32  bat­hya­l ­svamp­spikel­bunn
M,M-5,M5-E-33,M5-E-33  abys­sal sand­bunn
M,M-5,M5-E-34,M5-E-34  abys­sal ­løs ­mud­der­bunn
M,M-5,M5-E-35,M5-E-35  abys­sal ­fin ­grus-­til stein­bunn
M,M-5,M5-E-36,M5-E-36  abys­sal finse­di­ment­bunn
M,M-5,M5-E-37,M5-E-37  abys­sal ­fast ­leir­bunn
M,M-5,M5-E-38,M5-E-38  abys­sal ­svamp­spikel­bunn
M,M-5,M5-E-4,M5-E-4  fin­ma­te­ria­le­rik ­se­di­ment­bunn i øv­re ­sub­li­to­ral
M,M-5,M5-E-5,M5-E-5  finse­di­ment­bunn i øv­re ­sub­li­to­ral
M,M-5,M5-E-6,M5-E-6  fast­leire­bunn i øv­re ­sub­li­to­ral
