pid,_id,elementarySegmentGroup_id,majorTypeLEC_id
205,KA.f/UF.a/KI.bc,KA.f,T4-KA
206,KA.f/UF.a/KI.bc,UF.a,T4-UF
207,KA.f/UF.a/KI.bc,KI.bc,T4-KI
208,KA.f/UF.b/KI.bc,KA.f,T4-KA
209,KA.f/UF.b/KI.bc,UF.b,T4-UF
210,KA.f/UF.b/KI.bc,KI.bc,T4-KI
211,KA.g/UF.a/KI.bc,KA.g,T4-KA
212,KA.g/UF.a/KI.bc,UF.a,T4-UF
213,KA.g/UF.a/KI.bc,KI.bc,T4-KI
214,KA.g/UF.b/KI.bc,KA.g,T4-KA
215,KA.g/UF.b/KI.bc,UF.b,T4-UF
216,KA.g/UF.b/KI.bc,KI.bc,T4-KI
217,KA.h/UF.a/KI.bc,KA.h,T4-KA
218,KA.h/UF.a/KI.bc,UF.a,T4-UF
219,KA.h/UF.a/KI.bc,KI.bc,T4-KI
220,KA.h/UF.b/KI.bc,KA.h,T4-KA
221,KA.h/UF.b/KI.bc,UF.b,T4-UF
222,KA.h/UF.b/KI.bc,KI.bc,T4-KI
223,KA.i/UF.a/KI.bc,KA.i,T4-KA
224,KA.i/UF.a/KI.bc,UF.a,T4-UF
225,KA.i/UF.a/KI.bc,KI.bc,T4-KI
226,KA.i/UF.b/KI.bc,KA.i,T4-KA
227,KA.i/UF.b/KI.bc,UF.b,T4-UF
228,KA.i/UF.b/KI.bc,KI.bc,T4-KI
229,KA.h/UF.c/KI.bc,KA.h,T4-KA
230,KA.h/UF.c/KI.bc,UF.c,T4-UF
231,KA.h/UF.c/KI.bc,KI.bc,T4-KI
232,KA.i/UF.c/KI.bc,KA.i,T4-KA
233,KA.i/UF.c/KI.bc,UF.c,T4-UF
234,KA.i/UF.c/KI.bc,KI.bc,T4-KI
235,KA.h/UF.d/KI.bc,KA.h,T4-KA
236,KA.h/UF.d/KI.bc,UF.d,T4-UF
237,KA.h/UF.d/KI.bc,KI.bc,T4-KI
238,KA.i/UF.d/KI.bc,KA.i,T4-KA
239,KA.i/UF.d/KI.bc,UF.d,T4-UF
240,KA.i/UF.d/KI.bc,KI.bc,T4-KI
241,KA.h/UF.e/KI.bc,KA.h,T4-KA
242,KA.h/UF.e/KI.bc,UF.e,T4-UF
243,KA.h/UF.e/KI.bc,KI.bc,T4-KI
244,KA.i/UF.e/KI.bc,KA.i,T4-KA
245,KA.i/UF.e/KI.bc,UF.e,T4-UF
246,KA.i/UF.e/KI.bc,KI.bc,T4-KI
247,KA.h/UF.f/KI.bc,KA.h,T4-KA
248,KA.h/UF.f/KI.bc,UF.f,T4-UF
249,KA.h/UF.f/KI.bc,KI.bc,T4-KI
250,KA.i/UF.f/KI.bc,KA.i,T4-KA
251,KA.i/UF.f/KI.bc,UF.f,T4-UF
252,KA.i/UF.f/KI.bc,KI.bc,T4-KI
