pid,_id,lec_id,value,order
88,KA.g,KA,g,6
89,KA.h,KA,h,7
90,KA.i,KA,i,8
91,KI.0,KI,0,0
92,KI.a,KI,a,1
93,KI.d,KI,d,5
94,KI.e,KI,e,6
95,KI.¤,KI,¤,7
96,KI.b,KI,b,3
97,KI.c,KI,c,4
98,KO.0,KO,0,0
99,KO.+,KO,+,1
100,KT.a,KT,a,0
101,KT.b,KT,b,1
102,KT.c,KT,c,2
103,KT.d,KT,d,3
104,KT.e,KT,e,4
105,KT.f,KT,f,5
106,KY.0,KY,0,0
107,KY.a,KY,a,1
108,LA.0,LA,0,0
109,LA.+,LA,+,7
110,LA.a,LA,a,1
111,LA.b,LA,b,2
112,LA.c,LA,c,3
113,LA.d,LA,d,4
114,LA.e,LA,e,5
115,LA.f,LA,f,6
116,LK.0,LK,0,0
117,LK.+,LK,+,1
118,MB.0,MB,0,0
119,MB.+,MB,+,1
120,MF.0,MF,0,0
121,MF.a,MF,a,1
122,MF.b,MF,b,2
123,MF.c,MF,c,3
124,MF.d,MF,d,4
