"","htgrk","htypek","gtypek","grunntype","adb_id"
102,"L","L01","L01-C-13","L1-C-13 - Turbid eufotisk fast innsjøbunn","NA L1-C-13"
103,"L","L02","L02-C-01","L2-C-1 - Svært kalkfattig fin innsjø-sedimentbunn i strandkant","NA L2-C-1"
104,"L","L02","L02-C-02","L2-C-2 - Noe kalkfattig fin innsjø-sedimentbunn i strandkant","NA L2-C-2"
105,"L","L02","L02-C-03","L2-C-3 - Svært kalkfattig fin innsjø-sedimentbunn i plantebeltet","NA L2-C-3"
106,"L","L02","L02-C-04","L2-C-4 - Noe kalkfattig fin innsjø-sedimentbunn i plantebeltet","NA L2-C-4"
107,"L","L02","L02-C-05","L2-C-5 - Svært kalkfattig grov innsjø-sedimentbunn i strandkant","NA L2-C-5"
108,"L","L02","L02-C-06","L2-C-6 - Noe kalkfattig grov innsjø-sedimentbunn i strandkant","NA L2-C-6"
109,"L","L02","L02-C-07","L2-C-7 - Svært kalkfattig grov innsjø-sedimentbunn i plantebeltet","NA L2-C-7"
110,"L","L02","L02-C-08","L2-C-8 - Noe kalkfattig grov innsjø-sedimentbunn i plantebeltet","NA L2-C-8"
111,"L","L02","L02-C-09","L2-C-9 - Moderat kalkrik fin innsjø-sedimentbunn i strandkant","NA L2-C-9"
112,"L","L02","L02-C-10","L2-C-10 - Svært kalkrik fin innsjø-sedimentbunn i strandkant","NA L2-C-10"
113,"L","L02","L02-C-11","L2-C-11 - Moderat kalkrik fin innsjø-sedimentbunn i plantebeltet","NA L2-C-11"
114,"L","L02","L02-C-12","L2-C-12 - Svært kalkrik fin innsjø-sedimentbunn i plantebeltet","NA L2-C-12"
115,"L","L02","L02-C-13","L2-C-13 - Moderat kalkrik grov innsjø-sedimentbunn i strandkant","NA L2-C-13"
116,"L","L02","L02-C-14","L2-C-14 - Svært kalkrik grov innsjø-sedimentbunn i strandkant","NA L2-C-14"
117,"L","L02","L02-C-15","L2-C-15 - Moderat kalkrik grov innsjø-sedimentbunn i plantebeltet","NA L2-C-15"
118,"L","L02","L02-C-16","L2-C-16 - Svært kalkrik grov innsjø-sedimentbunn i plantebeltet","NA L2-C-16"
119,"L","L02","L02-C-17","L2-C-17 - Turbid eufotisk innsjø-sedimentbunn","NA L2-C-17"
120,"L","L03","L03-C-01","L3-C-1 - Kalkfattig dyp innsjøbunn","NA L3-C-1"
121,"L","L03","L03-C-02","L3-C-2 - Moderat kalkrik dyp innsjøbunn","NA L3-C-2"
122,"L","L03","L03-C-03","L3-C-3 - Svært kalkrik dyp innsjøbunn","NA L3-C-3"
123,"L","L04","L04-C-01","L4-C-1 - Kalkfattig helofyttsump","NA L4-C-1"
124,"L","L04","L04-C-02","L4-C-2 - Litt kalkfattig til intermediær helofyttsump","NA L4-C-2"
125,"L","L04","L04-C-03","L4-C-3 - Kalkrik helofyttsump","NA L4-C-3"
126,"L","L05","L05-C-01","L5-C-1 - Kalkfattig undervannseng i innsjø","NA L5-C-1"
127,"L","L05","L05-C-02","L5-C-2 - Moderat kalkrik undervannseng i innsjø","NA L5-C-2"
128,"L","L05","L05-C-03","L5-C-3 - Svært kalkrik undervannseng i innsjø","NA L5-C-3"
129,"L","L05","L05-C-04","L5-C-4 - Kalkfattig undervannseng i elv","NA L5-C-4"
130,"L","L05","L05-C-05","L5-C-5 - Moderat kalkrik undervannseng i elv","NA L5-C-5"
131,"L","L06","L06-C-01","L6-C-1 - Svært kalkfattig flarkgjøl-bunn på fast torv ","NA L6-C-1"
132,"L","L06","L06-C-02","L6-C-2 - Noe kalkfattig flarkgjøl-bunn på fast torv ","NA L6-C-2"
133,"L","L06","L06-C-03","L6-C-3 - Moderat kalkrik flarkgjøl-bunn på fast torv ","NA L6-C-3"
134,"L","L06","L06-C-04","L6-C-4 - Svært kalkrik flarkgjøl-bunn på fast torv ","NA L6-C-4"
135,"L","L06","L06-C-05","L6-C-5 - Høljegjøl-bunn på fast torv ","NA L6-C-5"
136,"L","L07","L07-C-01","L7-C-1 - Svært kalkfattig innsjøbunn av dy og gytje","NA L7-C-1"
137,"L","L07","L07-C-02","L7-C-2 - Noe kalkfattig innsjøbunn av dy og gytje","NA L7-C-2"
138,"L","L07","L07-C-03","L7-C-3 - Moderat kalkrik innsjøbunn av dy og gytje","NA L7-C-3"
