,id,adb_id,name
169,L17-E-4,NA L17-E-4,Kronisk forsuret innsjøbunn 
170,L17-E-1,NA L17-E-1,Kronisk kjemisk påvirket innsjøbunn 
171,L17-E-2,NA L17-E-2,Kronisk saltpåvirket innsjø-sedimentbunn 
172,L17-E-3,NA L17-E-3,Kronisk eutrofiert innsjøbunn 
173,L17-E-4,NA L17-E-4,Kronisk forsuret innsjøbunn 
174,L17-E-1,NA L17-E-1,Kronisk kjemisk påvirket innsjøbunn 
175,L17-E-2,NA L17-E-2,Kronisk saltpåvirket innsjø-sedimentbunn 
176,L17-E-3,NA L17-E-3,Kronisk eutrofiert innsjøbunn 
177,L17-E-4,NA L17-E-4,Kronisk forsuret innsjøbunn 
178,L17-E-1,NA L17-E-1,Kronisk kjemisk påvirket innsjøbunn 
179,L17-E-2,NA L17-E-2,Kronisk saltpåvirket innsjø-sedimentbunn 
180,L17-E-3,NA L17-E-3,Kronisk eutrofiert innsjøbunn 
181,L17-E-4,NA L17-E-4,Kronisk forsuret innsjøbunn 
182,L17-E-1,NA L17-E-1,Kronisk kjemisk påvirket innsjøbunn 
183,L17-E-2,NA L17-E-2,Kronisk saltpåvirket innsjø-sedimentbunn 
184,L17-E-3,NA L17-E-3,Kronisk eutrofiert innsjøbunn 
185,L17-E-4,NA L17-E-4,Kronisk forsuret innsjøbunn 
186,L17-E-1,NA L17-E-1,Kronisk kjemisk påvirket innsjøbunn 
187,L17-E-2,NA L17-E-2,Kronisk saltpåvirket innsjø-sedimentbunn 
188,L17-E-3,NA L17-E-3,Kronisk eutrofiert innsjøbunn 
189,L17-E-4,NA L17-E-4,Kronisk forsuret innsjøbunn 
190,L17-E-1,NA L17-E-1,Kronisk kjemisk påvirket innsjøbunn 
191,L17-E-2,NA L17-E-2,Kronisk saltpåvirket innsjø-sedimentbunn 
192,L17-E-3,NA L17-E-3,Kronisk eutrofiert innsjøbunn 
193,L17-E-4,NA L17-E-4,Kronisk forsuret innsjøbunn 
194,L17-E-1,NA L17-E-1,Kronisk kjemisk påvirket innsjøbunn 
195,L17-E-2,NA L17-E-2,Kronisk saltpåvirket innsjø-sedimentbunn 
196,L17-E-3,NA L17-E-3,Kronisk eutrofiert innsjøbunn 
197,L17-E-4,NA L17-E-4,Kronisk forsuret innsjøbunn 
198,L17-E-1,NA L17-E-1,Kronisk kjemisk påvirket innsjøbunn 
199,L17-E-2,NA L17-E-2,Kronisk saltpåvirket innsjø-sedimentbunn 
200,L17-E-3,NA L17-E-3,Kronisk eutrofiert innsjøbunn 
201,L17-E-4,NA L17-E-4,Kronisk forsuret innsjøbunn 
202,L17-E-1,NA L17-E-1,Kronisk kjemisk påvirket innsjøbunn 
203,L17-E-2,NA L17-E-2,Kronisk saltpåvirket innsjø-sedimentbunn 
204,L17-E-3,NA L17-E-3,Kronisk eutrofiert innsjøbunn 
205,L17-E-4,NA L17-E-4,Kronisk forsuret innsjøbunn 
206,L17-E-1,NA L17-E-1,Kronisk kjemisk påvirket innsjøbunn 
207,L17-E-2,NA L17-E-2,Kronisk saltpåvirket innsjø-sedimentbunn 
208,L17-E-3,NA L17-E-3,Kronisk eutrofiert innsjøbunn 
209,L17-E-4,NA L17-E-4,Kronisk forsuret innsjøbunn 
210,O1-E-1,NA O1-E-1,Svært kalkfattig fastbunn i klar elv 
211,O1-E-2,NA O1-E-2,Noe kalkfattig fastbunn i klar elv
212,O1-E-3,NA O1-E-3,Moderat kalkrik fastbunn i klar elv
213,O1-E-4,NA O1-E-4,Svært kalkrik fastbunn i klar elv
214,O1-E-5,NA O1-E-5,Kalkfattig fastbunn i humøs elv
215,O1-E-6,NA O1-E-6,Kalkrik fastbunn i humøs elv
216,O1-E-7,NA O1-E-7,Turbid fast elvebunn
217,O2-E-1,NA O2-E-1,Kalkfattig sedimentbunn i klar elv
218,O2-E-2,NA O2-E-2,Kalkrik sedimentbunn i klar elv
219,O2-E-3,NA O2-E-3,Sedimentbunn i humøs elv
220,O2-E-4,NA O2-E-4,Utstrømspåvirket kalkfattig elvebunn
221,O2-E-5,NA O2-E-5,Utstrømspåvirket kalkrik elvebunn
222,O2-E-6,NA O2-E-6,Turbid elvesedimentbunn
223,O3-E-1,NA O3-E-1,Kalkfattig ferskvannskildebunn
224,O3-E-2,NA O3-E-2,Kalkrik ferskvannskildebunn
225,O4-E-1,NA O4-E-1,Bunn i litt varm kilde
226,O4-E-2,NA O4-E-2,Bunn i varm kilde
227,O4-E-3,NA O4-E-3,Svovelpåvirket bunn i litt varm kilde
228,O5-E-1,NA O5-E-1,Ny sedimentbunn i elv
229,O6-E-1,NA O6-E-1,Kalkfattig kronisk fysisk forstyrret elvebunn
230,O6-E-2,NA O6-E-2,Kalkrik kronisk fysisk forstyrret elvebunn
231,O6-E-3,NA O6-E-3,Turbid minstevannførings-strekning i elv 
232,O7-E-1,NA O7-E-1,Kronisk kjemisk påvirket elvebunn
233,O7-E-2,NA O7-E-2,Kronisk kjemisk påvirket elvebunn
234,O7-E-3,NA O7-E-3,Kronisk forsuret elvebunn
235,T1-E-1,NA T1-E-1,svært kalkfattige til svakt intermediære nakne berg
236,T1-E-2,NA T1-E-2,sterkt intermediære til ekstremt kalkrike nakne berg
237,T2-E-1,NA T2-E-1,åpne og kalkfattige grunnlendte marker
238,T2-E-2,NA T2-E-2,åpne intermediære grunnlendte marker
239,T2-E-3,NA T2-E-3,åpne svakt kalkrike grunnlendte marker
240,T2-E-4,NA T2-E-4,åpne kalkrike grunnlente marker
241,T3-E-1,NA T3-E-1,kalkfattig leside
242,T3-E-2,NA T3-E-2,intermediær leside
243,T3-E-3,NA T3-E-3,kalkrike lesider og intermediære og kalkrike kildevannspåvirkede fjell-lavheier
244,T3-E-4,NA T3-E-4,kalkfattige fjell-lyng- og lavheier
245,T3-E-5,NA T3-E-5,intermediære fjell-lyng- og lavheier
246,T3-E-6,NA T3-E-6,svakt kalkrike fjell-lyng- og lavheier
247,T3-E-7,NA T3-E-7,svært kalkrike fjell-lyng- og lavheier
248,T4-E-1,NA T4-E-1,blåbær- og bærlyngskoger
249,T4-E-2,NA T4-E-2,svake lågurt- og storbregneskoger
250,T4-E-3,NA T4-E-3,lite tørkeutsatte lågurt- og bærlyng- lågurtskoger
251,T4-E-4,NA T4-E-4,lav- og lyngskoger
252,T4-E-5,NA T4-E-5,tørkeutsatte svake lågurtskoger
253,T4-E-6,NA T4-E-6,tørkeutsatte lågurtskoger
254,T5-E-1,NA T5-E-1,kalkfattige til svakt kalkrike grotter og overheng
255,T5-E-2,NA T5-E-2,sterkt kalkrike grotter og overheng
