pid,_id,majorTypeLEC_id,order,detail_id,lec_id,majorType_id,selected
413,V10-KA.cde,V10-KA,0.0,,KA,V-10,1.0
414,V10-KA.fgh,V10-KA,1.0,,KA,V-10,0.0
415,V10-KI.0a,V10-KI,0.0,,KI,V-10,1.0
416,V10-KI.bc,V10-KI,1.0,,KI,V-10,0.0
417,V10-SP.0,V10-SP,0.0,,SP,V-10,1.0
418,V10-SP.a,V10-SP,1.0,,SP,V-10,0.0
419,T13-KA.abc,T13-KA,0.0,,KA,T-13,1.0
420,T13-KA.defg,T13-KA,1.0,,KA,T-13,0.0
421,T13-KA.hi,T13-KA,2.0,,KA,T-13,0.0
422,T13-S1.b,T13-S1,0.0,,S1,T-13,1.0
423,T13-S1.c,T13-S1,1.0,,S1,T-13,0.0
424,T13-S1.def,T13-S1,2.0,,S1,T-13,0.0
425,T13-UE.abc,T13-UE,0.0,,UE,T-13,0.0
426,T13-UE.defg,T13-UE,1.0,,UE,T-13,1.0
427,T13-RU.bcde,T13-RU,0.0,,RU,T-13,1.0
428,T13-RU.¤,T13-RU,1.0,,RU,T-13,0.0
429,T13-BK.0,T13-BK,0.0,,BK,T-13,1.0
430,T13-BK.a,T13-BK,1.0,,BK,T-13,0.0
431,T13-VI.0a,T13-VI,0.0,,VI,T-13,1.0
432,T13-VI.bc,T13-VI,1.0,,VI,T-13,0.0
433,T16-KA.abc,T16-KA,0.0,,KA,T-16,1.0
434,T16-KA.de,T16-KA,1.0,,KA,T-16,0.0
435,T16-KA.fg,T16-KA,2.0,,KA,T-16,0.0
436,T16-KA.hi,T16-KA,3.0,,KA,T-16,0.0
437,T16-RU.bc,T16-RU,0.0,,RU,T-16,1.0
438,T16-RU.de,T16-RU,1.0,,RU,T-16,0.0
439,T16-KI.0a,T16-KI,0.0,,KI,T-16,1.0
440,T16-KI.bc,T16-KI,1.0,,KI,T-16,0.0
441,T16-UF.bcd,T16-UF,0.0,,UF,T-16,1.0
442,T16-UF.efgh,T16-UF,1.0,,UF,T-16,0.0
443,T16-HI.0,T16-HI,0.0,,HI,T-16,1.0
444,T16-HI.a,T16-HI,1.0,,HI,T-16,0.0
445,T16-BK.0,T16-BK,0.0,,BK,T-16,1.0
446,T16-BK.a,T16-BK,1.0,,BK,T-16,0.0
447,T16-VI.0a,T16-VI,0.0,,VI,T-16,1.0
448,T16-VI.bc,T16-VI,1.0,,VI,T-16,0.0
449,T16-VM.a0,T16-VM,0.0,,VM,T-16,1.0
450,T16-VM.b,T16-VM,1.0,,VM,T-16,0.0
451,T17-S1.0,T17-S1,0.0,,S1,T-17,1.0
452,T17-S1.de,T17-S1,1.0,,S1,T-17,0.0
453,T17-S1.fg,T17-S1,2.0,,S1,T-17,0.0
454,T17-S1.hi,T17-S1,3.0,,S1,T-17,0.0
455,T17-SU.b,T17-SU,0.0,,SU,T-17,1.0
456,T17-SU.c,T17-SU,1.0,,SU,T-17,0.0
457,T17-KA.bcde,T17-KA,0.0,,KA,T-17,1.0
