,pid,standardSegment_id,elementarySegment_id
526,527,L3-KA.abcde,KA.c
527,528,L3-KA.abcde,KA.d
528,529,L3-KA.abcde,KA.e
529,530,L3-KA.fghi,KA.f
530,531,L3-KA.fghi,KA.g
531,532,L3-KA.fghi,KA.h
532,533,L3-KA.fghi,KA.i
533,534,L3-IO.0a,IO.0
534,535,L3-IO.0a,IO.a
535,536,L3-IO.b¤,IO.b
536,537,L3-IO.b¤,IO.¤
537,538,L5-KT.a,KT.a
538,539,L5-KT.b,KT.b
539,540,L5-KT.c,KT.c
540,541,L5-KA.cde,KA.c
541,542,L5-KA.cde,KA.d
542,543,L5-KA.cde,KA.e
543,544,L5-KA.fghi,KA.f
544,545,L5-KA.fghi,KA.g
545,546,L5-KA.fghi,KA.h
546,547,L5-KA.fghi,KA.i
547,548,L5-S3E.0abcd,S3E.0
548,549,L5-S3E.0abcd,S3E.a
549,550,L5-S3E.0abcd,S3E.b
550,551,L5-S3E.0abcd,S3E.c
551,552,L5-S3E.0abcd,S3E.d
552,553,L5-S3F.0ab,S3F.0
553,554,L5-S3F.0ab,S3F.a
554,555,L5-S3F.0ab,S3F.b
555,556,L5-S3F.c¤,S3F.c
556,557,L5-S3F.c¤,S3F.¤
557,558,L5-S3S.0,S3S.0
558,559,L5-S3S.e,S3S.e
559,560,L5-VF.0abcde,VF.0
560,561,L5-VF.0abcde,VF.a
561,562,L5-VF.0abcde,VF.b
562,563,L5-VF.0abcde,VF.c
563,564,L5-VF.0abcde,VF.d
564,565,L5-VF.0abcde,VF.e
565,566,L5-VF.fgh¤,VF.f
566,567,L5-VF.fgh¤,VF.g
567,568,L5-VF.fgh¤,VF.h
568,569,L5-VF.fgh¤,VF.¤
569,570,T20-KA.cde,KA.c
570,571,T20-KA.cde,KA.d
571,572,T20-KA.cde,KA.e
572,573,T20-KA.fgh,KA.f
573,574,T20-KA.fgh,KA.g
574,575,T20-KA.fgh,KA.h
575,576,T27-SV.0,SV.0
576,577,T27-SV.abcdef,SV.a
577,578,T27-SV.abcdef,SV.b
578,579,T27-SV.abcdef,SV.c
579,580,T27-SV.abcdef,SV.d
580,581,T27-SV.abcdef,SV.e
581,582,T27-SV.abcdef,SV.f
582,583,T27-SV.g,SV.g
583,584,T27-KA.abcde,KA.a
584,585,T27-KA.abcde,KA.b
585,586,T27-KA.abcde,KA.c
586,587,T27-KA.abcde,KA.d
587,588,T27-KA.abcde,KA.e
588,589,T27-KA.fghi,KA.f
589,590,T27-KA.fghi,KA.g
590,591,T27-KA.fghi,KA.h
591,592,T27-KA.fghi,KA.i
592,593,T27-VI.0a,VI.0
593,594,T27-VI.0a,VI.a
594,595,T27-VI.bc,VI.b
595,596,T27-VI.bc,VI.c
596,597,T27-LA.0abcd,LA.0
597,598,T27-LA.0abcd,LA.a
598,599,T27-LA.0abcd,LA.b
599,600,T27-LA.0abcd,LA.c
600,601,T27-LA.0abcd,LA.d
601,602,T27-LA.ef+,LA.e
602,603,T27-LA.ef+,LA.f
603,604,T27-LA.ef+,LA.+
604,605,T27-BK.0,BK.0
605,606,T27-BK.a,BK.a
606,607,T27-BK.b,BK.b
607,608,T27-S1.b,S1.b
608,609,T27-S1.c,S1.c
609,610,T27-UE.abc,UE.a
610,611,T27-UE.abc,UE.b
611,612,T27-UE.abc,UE.c
612,613,T27-UE.defg,UE.d
613,614,T27-UE.defg,UE.e
614,615,T27-UE.defg,UE.f
615,616,T27-UE.defg,UE.g
616,617,T8-NG.ab,NG.a
617,618,T8-NG.ab,NG.b
618,619,T8-NG.cd,NG.c
619,620,T8-NG.cd,NG.d
620,621,T8-NG.¤,NG.¤
621,622,T8-KI.0a,KI.0
622,623,T8-KI.0a,KI.a
623,624,T8-KI.bc,KI.b
624,625,T8-KI.bc,KI.c
625,626,T8-UF.abcd,UF.a
626,627,T8-UF.abcd,UF.b
627,628,T8-UF.abcd,UF.c
628,629,T8-UF.abcd,UF.d
629,630,T8-UF.efgh,UF.e
630,631,T8-UF.efgh,UF.f
631,632,T8-UF.efgh,UF.g
632,633,T8-UF.efgh,UF.h
633,634,T8-KA.cde,KA.c
634,635,T8-KA.cde,KA.d
635,636,T8-KA.cde,KA.e
636,637,T8-KA.fghi,KA.f
637,638,T8-KA.fghi,KA.g
638,639,T8-KA.fghi,KA.h
639,640,T8-KA.fghi,KA.i
640,641,T8-HI.0,HI.0
641,642,T8-HI.a,HI.a
642,643,V6-SV.ab,SV.a
643,644,V6-SV.ab,SV.b
644,645,V6-SV.cd,SV.c
645,646,V6-SV.cd,SV.d
646,647,V6-SV.ef,SV.e
647,648,V6-SV.ef,SV.f
648,649,V6-KA.cdef,KA.c
649,650,V6-KA.cdef,KA.d
650,651,V6-KA.cdef,KA.e
651,652,V6-KA.cdef,KA.f
652,653,V6-KA.ghi,KA.g
653,654,V6-KA.ghi,KA.h
654,655,V6-KA.ghi,KA.i
655,656,V6-KI.bc,KI.b
656,657,V6-KI.bc,KI.c
657,658,V6-KI.de,KI.d
658,659,V6-KI.de,KI.e
659,660,T31-KA.abc,KA.a
660,661,T31-KA.abc,KA.b
661,662,T31-KA.abc,KA.c
662,663,T31-KA.de,KA.d
663,664,T31-KA.de,KA.e
664,665,T31-KA.fg,KA.f
665,666,T31-KA.fg,KA.g
666,667,T31-KA.hi,KA.h
667,668,T31-KA.hi,KA.i
668,669,T31-UF.bc,UF.b
669,670,T31-UF.bc,UF.c
670,671,T31-UF.de,UF.d
671,672,T31-UF.de,UF.e
672,673,T31-UF.fgh,UF.f
673,674,T31-UF.fgh,UF.g
674,675,T31-UF.fgh,UF.h
675,676,T31-KI.0a,KI.0
676,677,T31-KI.0a,KI.a
677,678,T31-KI.bc,KI.b
678,679,T31-KI.bc,KI.c
679,680,T31-BK.0,BK.0
680,681,T31-BK.a,BK.a
681,682,T31-HI.0,HI.0
682,683,T31-HI.a,HI.a
683,684,T31-VM.0a,VM.0
684,685,T31-VM.0a,VM.a
685,686,T31-VM.b,VM.b
686,687,T33-TV.fgh,TV.f
687,688,T33-TV.fgh,TV.g
688,689,T33-TV.fgh,TV.h
689,690,T33-TV.ijk,TV.i
690,691,T33-TV.ijk,TV.j
691,692,T33-TV.ijk,TV.k
692,693,T33-SA.abc,SA.a
693,694,T33-SA.abc,SA.b
694,695,T33-SA.abc,SA.c
695,696,T33-SA.def,SA.d
696,697,T33-SA.def,SA.e
697,698,T33-SA.def,SA.f
698,699,T33-SP.0,SP.0
699,700,T33-SP.a,SP.a
700,701,T33-VM.0a,VM.0
701,702,T33-VM.0a,VM.a
702,703,T33-VM.b,VM.b
703,704,T33-S1.de,S1.d
704,705,T33-S1.de,S1.e
705,706,T33-S1.hi,S1.h
706,707,T33-S1.hi,S1.i
707,708,T33-HI.bc,HI.b
708,709,T33-HI.bc,HI.c
709,710,T33-HI.de,HI.d
710,711,T33-HI.de,HI.e
711,712,F2-SM.bc,SM.b
712,713,F2-SM.bc,SM.c
713,714,F2-SM.def,SM.d
714,715,F2-SM.def,SM.e
715,716,F2-SM.def,SM.f
716,717,F2-SM.ghi,SM.g
717,718,F2-SM.ghi,SM.h
