pid,_id,elementarySegment_id,majorType_id,lec_id,standardSegment_id
214,KA.e,KA.e,L-1,KA,L1-KA.def
215,KA.f,KA.f,L-1,KA,L1-KA.def
216,KA.g,KA.g,L-1,KA,L1-KA.ghi
217,KA.h,KA.h,L-1,KA,L1-KA.ghi
218,KA.i,KA.i,L-1,KA,L1-KA.ghi
219,VF.0,VF.0,L-1,VF,L1-VF.0abcde
220,VF.a,VF.a,L-1,VF,L1-VF.0abcde
221,VF.b,VF.b,L-1,VF,L1-VF.0abcde
222,VF.cd,VF.c,L-1,VF,L1-VF.0abcde
223,VF.cd,VF.d,L-1,VF,L1-VF.0abcde
224,VF.e,VF.e,L-1,VF,L1-VF.0abcde
225,VF.f,VF.f,L-1,VF,L1-VF.fgh¤
226,VF.g,VF.g,L-1,VF,L1-VF.fgh¤
227,VF.h,VF.h,L-1,VF,L1-VF.fgh¤
228,VF.¤,VF.¤,L-1,VF,L1-VF.fgh¤
229,DL.0,DL.0,L-2,DL,
230,DL.a,DL.a,L-2,DL,L2-DL.ab
231,DL.b,DL.b,L-2,DL,L2-DL.ab
232,DL.c,DL.c,L-2,DL,L2-DL.c
233,DL.d,DL.d,L-2,DL,
234,DL.e,DL.e,L-2,DL,
235,DL.+,DL.+,L-2,DL,
236,HU.0,HU.0,L-2,HU,L2-HU.0
237,HU.a,HU.a,L-2,HU,L2-HU.abcd
238,HU.b,HU.b,L-2,HU,L2-HU.abcd
239,HU.c,HU.c,L-2,HU,L2-HU.abcd
240,HU.d,HU.d,L-2,HU,L2-HU.abcd
241,IF.0,IF.0,L-2,IF,L2-IF.0
242,IF.a,IF.a,L-2,IF,L2-IF.ab
243,IF.b,IF.b,L-2,IF,L2-IF.ab
244,IF.¤,IF.¤,L-2,IF,
245,IO.0,IO.0,L-2,IO,L2-IO.0a
246,IO.a,IO.a,L-2,IO,L2-IO.0a
247,IO.b,IO.b,L-2,IO,L2-IO.b¤
248,IO.¤,IO.¤,L-2,IO,L2-IO.b¤
249,KA.ab,KA.a,L-2,KA,L2-KA.ab
250,KA.ab,KA.b,L-2,KA,L2-KA.ab
251,KA.c,KA.c,L-2,KA,L2-KA.cde
252,KA.d,KA.d,L-2,KA,L2-KA.cde
253,KA.e,KA.e,L-2,KA,L2-KA.cde
254,KA.f,KA.f,L-2,KA,L2-KA.fghi
255,KA.g,KA.g,L-2,KA,L2-KA.fghi
256,KA.h,KA.h,L-2,KA,L2-KA.fghi
257,KA.i,KA.i,L-2,KA,L2-KA.fghi
258,SE.0,SE.0,L-2,SE,L2-SE.0ab
259,SE.a,SE.a,L-2,SE,L2-SE.0ab
260,SE.b,SE.b,L-2,SE,L2-SE.0ab
261,SE.¤,SE.¤,L-2,SE,L2-SE.¤
262,S3E.0,S3E.0,L-2,S3E,L2-S3E.0abc
263,S3E.a,S3E.a,L-2,S3E,L2-S3E.0abc
264,S3E.b,S3E.b,L-2,S3E,L2-S3E.0abc
265,S3E.c,S3E.c,L-2,S3E,L2-S3E.0abc
266,S3E.d,S3E.d,L-2,S3E,L2-S3E.d
267,S3E.e,S3E.e,L-2,S3E,L2-S3E.e
268,S3E.f,S3E.f,L-2,S3E,
269,S3E.+,S3E.+,L-2,S3E,
270,S3F.0,S3F.0,L-2,S3F,L2-S3F.0ab
271,S3F.a,S3F.a,L-2,S3F,L2-S3F.0ab
272,S3F.b,S3F.b,L-2,S3F,L2-S3F.0ab
273,S3F.c,S3F.c,L-2,S3F,L2-S3F.c¤
274,S3F.¤,S3F.¤,L-2,S3F,L2-S3F.c¤
275,S3S.0,S3S.0,L-2,S3S,L2-S3S.0
276,S3S.a,S3S.a,L-2,S3S,
277,S3S.b,S3S.b,L-2,S3S,
278,S3S.c,S3S.c,L-2,S3S,
279,S3S.d,S3S.d,L-2,S3S,
280,S3S.e,S3S.e,L-2,S3S,L2-S3S.e
281,VF.0,VF.0,L-2,VF,L2-VF.0abcde
282,VF.a,VF.a,L-2,VF,L2-VF.0abcde
283,VF.b,VF.b,L-2,VF,L2-VF.0abcde
284,VF.cd,VF.c,L-2,VF,L2-VF.0abcde
285,VF.cd,VF.d,L-2,VF,L2-VF.0abcde
286,VF.e,VF.e,L-2,VF,L2-VF.0abcde
