,pid,_id,lec_id,majorType_id,lecType_id,axis
286,287,T29-S1,S1,T-29,iLEC,0.0
287,288,T29-LA,LA,T-29,iLEC,1.0
288,289,T29-TV,TV,T-29,iLEC,2.0
289,290,T29-VI,VI,T-29,iLEC,2.0
290,291,T29-HI,HI,T-29,uLEC,
291,292,T1-KA,KA,T-1,mLEC,0.0
292,293,T1-UE,UE,T-1,mLEC,1.0
293,294,T1-OR,OR,T-1,mLEC,2.0
294,295,T1-HF,HF,T-1,iLEC,0.0
295,296,T1-VF,VF,T-1,iLEC,1.0
296,297,T1-VS,VS,T-1,iLEC,2.0
297,298,T1-LA,LA,T-1,iLEC,2.0
298,299,T1-NG,NG,T-1,iLEC,2.0
299,300,T1-VI,VI,T-1,iLEC,2.0
300,301,T1-SV,SV,T-1,iLEC,2.0
301,302,T1-IF,IF,T-1,uLEC,
302,303,T1-BK,BK,T-1,uLEC,
303,304,T40-KA,KA,T-40,uLEC,
304,305,T40-UF,UF,T-40,uLEC,
305,306,T40-SP,SP,T-40,uLEC,
306,307,T40-VM,VM,T-40,uLEC,
307,308,T40-SS,SS,T-40,uLEC,
308,309,T40-SA,SA,T-40,uLEC,
309,310,F5-SM,SM,F-5,uLEC,
310,311,F5-KA,KA,F-5,uLEC,
311,312,F5-HU,HU,F-5,uLEC,
312,313,F5-TU,TU,F-5,uLEC,
313,314,F5-KO,KO,F-5,uLEC,
