pid,minorType_id,standardSegment_id
617,M5-3,M5-DM.0
618,M5-3,M5-S3E.cd
619,M5-3,M5-S3E.e
620,M5-3,M5-S3F.0a
621,M5-4,M5-DM.0
622,M5-4,M5-S3E.b
623,M5-4,M5-S3E.cd
624,M5-4,M5-S3F.bc
625,M5-5,M5-DM.0
626,M5-5,M5-S3E.b
627,M5-5,M5-S3E.cd
628,M5-5,M5-S3F.¤
629,M5-6,M5-DM.0
630,M5-6,M5-S3E.e
631,M5-6,M5-S3F.¤
632,M5-7,M5-DM.0
633,M5-7,M5-S3E.0a
634,M5-7,M5-S3F.¤
635,M5-7,M5-IO.¤
636,M5-8,M5-DM.0
637,M5-8,M5-S3S.a
638,M5-9,M5-DM.0
639,M5-9,M5-S3S.c
640,M5-10,M5-DM.0
641,M5-10,M5-S3S.d
642,M5-11,M5-DM.a
643,M5-11,M5-S3E.0a
644,M5-11,M5-S3E.b
645,M5-11,M5-S3F.0a
646,M5-12,M5-DM.a
647,M5-12,M5-S3E.0a
648,M5-12,M5-S3F.¤
649,M5-13,M5-DM.a
650,M5-13,M5-S3E.cd
651,M5-13,M5-S3E.e
652,M5-13,M5-S3F.0a
653,M5-14,M5-DM.a
654,M5-14,M5-S3E.b
655,M5-14,M5-S3E.cd
656,M5-14,M5-S3F.bc
657,M5-15,M5-DM.a
658,M5-15,M5-S3E.b
659,M5-15,M5-S3E.cd
660,M5-15,M5-S3F.¤
661,M5-16,M5-DM.a
662,M5-16,M5-S3E.e
663,M5-16,M5-S3F.¤
664,M5-17,M5-DM.a
665,M5-17,M5-S3E.0a
666,M5-17,M5-S3F.¤
667,M5-17,M5-IO.¤
668,M5-18,M5-DM.a
669,M5-18,M5-S3S.c
670,M5-19,M5-DM.a
671,M5-19,M5-S3S.d
672,M5-20,M5-DM.b
673,M5-20,M5-S3E.0a
674,M5-20,M5-S3E.b
675,M5-20,M5-S3F.0a
676,M5-21,M5-DM.b
677,M5-21,M5-S3E.0a
678,M5-21,M5-S3F.¤
679,M5-22,M5-DM.b
